Site,Date,LiCor Number,Leaf Code,Leaf age,Species_Age,PAR (μmol m-2 s-1),CO2 Reference (ppm),Ci (ppm),An (μmol m-2 s-1),Tleaf (℃),RH (%),Ci_Pa,Ci/Ca,Atmospheric Pressure (kPa)
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,33,42.61524914,-0.596161143,31.46328354,79.67530823,3.951706344,1.270795346,92.80364227
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,66,65.34356016,-0.066254298,31.50250244,79.33170319,6.059655033,0.993282576,92.80358887
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,100,86.47781748,0.56245725,31.4668541,79.19006348,8.019702554,0.860794818,92.80192566
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,175,124.9552845,1.954174899,31.50776672,79.03131866,11.58851679,0.725151081,92.80088806
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,250,162.3171653,3.38178943,31.51762009,78.84752655,15.05443163,0.660529758,92.7989502
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,325,202.5790309,4.611684858,31.48105049,78.70935822,18.7898357,0.636257092,92.79878235
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,400,261.2076084,7.568458818,31.33895874,80.08428192,24.21950257,0.670243248,92.80115509
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,475,299.0070728,9.659686992,31.24043465,79.86373901,27.72186023,0.646225682,92.79447174
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,575,356.930082,11.43665307,31.20351028,79.67622375,33.09074793,0.63742489,92.79091644
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,675,415.6022157,13.1175146,31.19868088,79.36106873,38.52929516,0.631858011,92.7874527
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,800,487.0514659,14.96916211,31.22995377,79.03569794,45.15311405,0.6235711,92.78534698
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,1000,617.1842398,17.20259794,31.27664375,78.62252808,57.21815205,0.631275114,92.78262329
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,1400,901.436853,20.38225269,31.34396553,78.1725235,83.57114381,0.656677478,92.78291321
Xishuangbanna,20190731,JW1,16HMS_B1_L1,M,HMS_M,2000,1800,1208.988379,22.76293088,31.3985672,77.72728729,112.0830886,0.682783644,92.78320313